output,input,instruction
"Organizational Support Experiences of Care Home and Home Care Staff in Sweden, Italy, Germany and the United Kingdom during the COVID-19 Pandemic","The COVID-19 pandemic has affected care workers all over the globe, as older and more vulnerable people face a high risk of developing severe symptoms and dying from the virus infection. The aim of this study was to compare staff experiences of stress and anxiety as well as internal and external organizational support in Sweden, Italy, Germany, and the United Kingdom (UK) in order to determine how care staff were affected by the pandemic. A 29-item online questionnaire was used to collect data from care staff respondents: management (n = 136), nurses (n = 132), nursing assistants (n = 195), and other healthcare staff working in these organizations (n = 132). Stress and anxiety levels were highest in the UK and Germany, with Swedish staff showing the least stress. Internal and external support only partially explain the outcomes. Striking discrepancies between different staff groups’ assessment of organizational support as well as a lack of staff voice in the UK and Germany could be key factors in understanding staff’s stress levels during the pandemic. Structural, political, cultural, and economic factors play a significant role, not only factors within the care organization or in the immediate context.",Please summerize the given abstract to a title
Clinical course of SARS-CoV-2 infection in patients with severe acquired brain injury and a disorder of consciousness: an observational study.,"Purpose: SARS-CoV-2 infection can cause the coronavirus disease (COVID), ranging from flu-like symptoms to interstitial pneumonia. Mortality is high in COVID pneumonia and it is the highest among the frailest. COVID could be particularly serious in patients with severe acquired brain injury (SABI), such as those with a disorder of consciousness. We here describe a cohort of patients with a disorder of consciousness exposed to SARS-CoV-2 early after their SABI. Materials and methods: The full cohort of 11 patients with SABI hospitalized in March 2020 in the IRCCS Fondazione Don Gnocchi rehabilitation (Milan, Italy) was recruited. Participants received SARS-CoV-2 testing and different clinical and laboratory data were collected. Results: Six patients contracted SARS-CoV-2 and four of them developed the COVID. Of these, one patient had ground-glass opacities on the chest CT scan, while the remaining three developed consolidations. No patient died and the overall respiratory involvement was mild, requiring in the worst cases low-flow oxygen. Conclusions: Here we report the clinical course of a cohort of patients with SABI exposed to SARS-CoV-2. The infection spread among patients and caused COVID in some of them. Unexpectedly, COVID was moderate, caused at most mild respiratory distress and did not result in fatalities.",Please summerize the given abstract to a title
Racism and health care: Experiences of latinx immigrant women in NYC during COVID-19,"The COVID-19 pandemic has disproportionately affected minoritized racial groups, especially Latinx immigrants, evidenced by the high rates of COVID-19 infections, hospitalizations, and deaths among this population. With increasing xenophobia and anti-immigrant sentiment in parallel to the pandemic, it is critical to understand the perspectives of Latinx populations. This study explores Latinx immigrant women's perceptions of racism and xenophobia in their health care experiences in New York City (NYC) during the COVID-19 pandemic and, further, seeks to understand the role of perceived discrimination in health care settings and on health care access. Data were analyzed using a constant comparative method of analysis from twenty-one in-depth interviews conducted with foreign-born women in the five boroughs of New York City from diverse countries across Latin America. Four central themes emerged including: structural inequalities, discriminatory health care experiences, victimization in public institutions, and overcoming discrimination in health care settings. Latinx immigrant women described the ways in which perceptions and experiences of discrimination shaped their capacity to address health-related needs during the COVID-19 pandemic. This study provides evidence to a growing body of literature suggesting that structural racism and xenophobia and perceptions of anti-immigrant discrimination, including resulting structural inequalities, may have a negative effect on individuals' ability to access and engage the health care system, resulting in avoidance of health care services – a critical need during a global pandemic. Scholars, policymakers, and practitioners alike should be mindful of how racism and xenophobia shape Latinx immigrant communities' engagement with the health care system.",Please summerize the given abstract to a title
"Health Literacy, Digital Health Literacy, and COVID-19 Pandemic Attitudes and Behaviors in U.S. College Students: Implications for Interventions","The COVID-19 pandemic has been accompanied by rapidly emerging evidence, changing guidance, and misinformation, which present new challenges for health literacy (HL) and digital health literacy (DHL) skills. This study explored whether COVID-19-related information access, attitudes, and behaviors were associated with health literacy and digital health literacy among college students in the United States. Self-reported measures of health literacy, along with items on pandemic-related attitudes, behaviors, information sources, and social networks, were collected online using a managed research panel. In July 2020, 256 responses were collected, which mirrored the racial/ethnic and gender diversity of U.S. colleges. Only 49% reported adequate HL, and 57% found DHL tasks easy overall. DHL did not vary by HL level. In multivariable models, both HL and DHL were independently associated with overall compliance with basic preventive practices. Higher DHL, but not HL, was significantly associated with greater willingness to get a COVID-19 vaccine and the belief that acquiring the disease would negatively impact their life. On average, respondents discussed health with 4-5 people, which did not vary by HL or DHL measures. The usage of online information sources varied by HL and DHL. The study findings can inform future student-focused interventions, including identifying the distinct roles of HL and DHL in pandemic information access, attitudes, and behaviors.",Please summerize the given abstract to a title
The impact of the Hand Hygiene New Zealand programme on hand hygiene practices in New Zealand's public hospitals.,"AIM To detail the progress made by Hand Hygiene New Zealand (HHNZ) since 2011 and also describe the challenges experienced along the way and the factors required for delivery of a successful hand hygiene programme at a national level. METHOD HHNZ is a multimodal culture-change programme based on the WHO '5 moments for hand hygiene' approach. The key components of the programme include clinical leadership, auditing of hand hygiene compliance with thrice yearly reporting of improvement in hand hygiene practice, biannual reporting of the outcome marker, healthcare-associated Staphylococcus aureus bacteraemia (HA-SAB), effective communication with key stakeholders and the use of the front-line ownership (FLO) principles for quality improvement. RESULTS The nationally aggregated hand hygiene compliance has increased from 62% in June 2012 to 81% in March 2016. There has been improvement across all 'moments', all healthcare worker groups and a range of different clinical specialties. The rate of HA-SAB has remained stable. CONCLUSION The HHNZ programme has led to significant improvements in hand hygiene practice in DHBs throughout New Zealand. The principles of FLO are now widely used to drive hand hygiene improvement in New Zealand DHBs.",Please summerize the given abstract to a title
Clinical course and approaches to therapy in kidney transplant recipients with the novel COVID-19 disease,"The COVID-19 pandemic has had global consequences due to the wide spread of the infection in the world, lack of currently proven effective therapy, resistance to treatment in a significant proportion of those affected and, as a result, high mortality, especially among high-risk groups Kidney transplant recipients with coronavirus-induced pneumonia are among the most problematic categories of patients This patient cohort experiences a severe form of the disease, taking into account a combination of risk factors, such as long-term immunosuppression, comorbid background of patients, and consequences of chronic kidney disease Difficulties in the management of recipients with COVID-19 are also down to the limitation of the use of drugs due to adverse drug-drug interactions Objective: to analyze the course of COVID-19 disease in organ recipients, to assess the factors influencing the prognosis of the disease, and to optimize approaches to treatment of these patients Materials and methods During the period from April 15, 2020 to June 15, 2020, 68 people (38 men and 30 women) were hospitalized at our clinic Their average age was 49 7 ± 9 2 years (22 to 70 years) COVID-19 diagnosis was verified by PCR Multispiral computed tomography (MSCT) scans showed that in all cases, there were characteristic lung lesions of varying degrees of severity Results Out of the 68 people treated, 61 (89 8%) were discharged with recovery, 7 patients died So, the mortality rate was 10 2% This indicator did not depend on age and gender First of all, mortality depended on the severity of lung lesions: at CT4 it was 43% (3/7), at CT3 - 11 1% (4/36), there were no deaths in patients with CT2 There was a 100% mortality among patients who received mechanical ventilation Severity of graft dysfunction was also an important prognostic factor: with moderate dysfunction, this indicator was 8% (5/63), while with severe dysfunction it was 40% (2 out of 5) Besides, a more severe prognosis was observed in patients in the early post-transplant period: 5 patients out of the 7 who died of COVID-19 (71%) lived for less than a year after kidney allotransplantation (ATP) Mortality in this category of patients was 24%, while in the period from 1 to 5 years, this indicator was 13 6%;no deaths were recorded among patients with a period of over 5 years after ATP All patients received antibacterial (levofloxacin or azithromycin) and antiviral (hydroxychloroquine) therapy In all cases, the baseline immunosuppressive therapy (IST) was changed, including withdrawal of mycophenolic acid preparations, minimization of the calcineurin inhibitor dose (target concentration 1 5-3 ng/ mL for tacrolimus and 30-50 ng/mL for cyclosporine), and increase in prednisolone dose by 5 mg relative to the current one About 78% of cases received pathogenetic therapy with anti-interleukin monoclonal antibodies (mainly tocilizumab) These patients also received intravenous immunoglobulin at 10 g average dose In severe COVID-19 accompanied in by clinical and laboratory signs of thrombotic microangiopathy 22% of cases, plasma exchange sessions and/or infusion of fresh frozen plasma and dose adjustment of low molecular weight heparins were performed Conclusions COVID-19-induced pneumonia in kidney transplant recipients is characterized by a high risk of progressive lung damage and respiratory failure Mortality in COVID-19 is independent of gender and age, but correlates with post-transplantation period, severity of pneumonia, and severity of graft dysfunction The need for mechanical ventilation is associated with an extremely unfavorable prognosis of the disease Пандемия COVID-19 повлекла за собой глобальные последствия, обусловленные широким распространением инфекции в мире, отсутствием в настоящее время доказанной эффективной терапии, резистентностью к проводимому лечению у значительной части заболевших и, как следствие, значительной летальностью, особенно в группах высокого риска Одной из наиболее проблемных категорий больных являются реципиенты почечного трансплантата с коронавирусной пневмонией Данная когорта больных имеет серьезный прогноз заболевания с учетом совокупности факторов риска: длительной иммуносупрессии, коморбидного фона больных, последствий хронической болезни почек Трудности ведения трансплантированных пациентов с СOVID-19 также обусловлены ограничением применения лекарственных препаратов из-за неблагоприятных межлекарственных взаимодействий Целью исследования было проанализировать течение заболевания COVID-19 у пациентов, перенесших трансплантацию органов, и оценить факторы, влияющие на прогноз заболевания, оптимизировать подходы к лечению этих больных Материалы и методы За период с 15 04 20 по 15 06 20 в стационаре нашей клиники было пролечено 68 человек (38 мужчин и 30 женщин) Средний возраст составил 49,7 ± 9,2 года (от 22 до 70 лет) Диагноз COVID-19 был верифицирован методом ПЦР По данным МСКТ во всех случаях выявлялось характерное поражение легких различной степени тяжести Результаты Из 68 человек 61 (89,8%) был выписан с выздоровлением, 7 пациентов умерли Таким образом, летальность составила 10,2% Этот показатель не зависел от возраста и пола В первую очередь, летальность зависела от тяжести легочного поражения: при КТ4 составила 43% (3/7), при КТ3 - 11,1% (4/36), у пациентов с КТ2 летальных исходов не было Среди пациентов, получавших ИВЛ, летальность составила 100% Важным прогностическим фактором оказалась также выраженность дисфункции трансплантата: при умеренной дисфункции этот показатель составил 8% (5/63), тогда как при выраженной дисфункции он был равен 40% (2 из 5) Помимо этого, более тяжелый прогноз отмечался у пациентов в ранние сроки после АТП: у 5 пациентов из 7 умерших от СOVID-19 (71%) срок после АТП составлял менее года Летальность у этой категории пациентов составила 24%, тогда как в сроки от 1 до 5 лет этот показатель был равен 13,6%, а среди пациентов со сроком после АТП более 5 лет летальных исходов не отмечалось Всем пациентам проводилась антибактериальная (левофлоксацин либо азитромицин) и противовирусная (гидроксихлорохин) терапия Во всех случаях проводилось изменение базисной ИСТ, включавшее отмену препаратов микофеноловой кислоты, минимизацию дозы ингибиторов кальциневрина (целевая концентрация 1,5-3 нг/мл для такролимуса и 30-50 нг/мл для циклоспорина) и повышение дозы преднизолона на 5 мг относительно текущей дозировки В 78% случаев проводилась патогенетическая терапия антиинтерлейкиновыми моноклональными антителами (преимущественно тоцилизумабом) Этим пациентам также вводился внутривенный иммуноглобулин в средней дозе 10 г При тяжелом течении СOVID-19, сопровождавшемся в 22% случаев клинико-лабораторными признаками тромботической микроангиопатии, проводились сеансы плазмообмена и/или инфузии свежезамороженной плазмы и коррекция дозы низкомолекулярных гепаринов Выводы Пневмония, индуцированная СOVID-19, у пациентов после трансплантации почки характеризуется высоким риском прогрессирования легочного процесса и дыхательной недостаточности Летальность при СОVID-19 не зависит от пола и возраста, однако коррелирует со срокомпосле трансплантации, тяжестью пневмонии и выраженностью дисфункции РАТ Перевод на ИВЛ сопряжен с крайне неблагоприятным прогнозом заболевания",Please summerize the given abstract to a title
Machine-learning models for predicting survivability in COVID-19 patients,"COVID-19 is a disease currently ravaging the world, bringing unprecedented health and economic challenges to several nations. There are presently close to five million reported cases in over 200 countries with fatalities numbering over 300,000 persons. This study presents machine-learning models for the prediction and visualization of the significant factors that determine the survivability of COVID-19 patients. This study develops prediction models using a decision tree, logistic regression (LR), gradient boosting, and LR algorithms to identify the significant factors and predict the survivability of COVID-19 patients. The results of the simulation showed that the LR model had the lowest prediction accuracy. The other three showed over 95% correct accuracy and indicated that the essential factors in determining patients' survivability were underlying health conditions and age. The findings of this study agreed with the medical claims that patients with underlying health challenges and those advanced in age are liable to have complications; hence, providing a research-based credence to this belief. This proposed model thus serves as a decision support system for the management of COVID-19 patients, as well as predicts a patient’s chances of survival at the first presentation at the hospitals.",Please summerize the given abstract to a title
The Impact of Early-Life Exposures on Women’s Reproductive Health in Adulthood,"PURPOSE OF REVIEW: To review the effects of early-life, preconception, and prior-generation exposures on reproductive health in women. RECENT FINDINGS: Women’s early-life factors can affect reproductive health by contributing to health status or exposure level on entering pregnancy. Alternately, they can have permanent effects, regardless of later-life experience. Nutrition, social class, parental smoking, other adverse childhood experiences, environmental pollutants, infectious agents, and racism and discrimination all affect reproductive health, even if experienced in childhood or in utero. Possible transgenerational effects are now being investigated through three- or more-generation studies. These effects occur with mechanisms that may include direct exposure, behavioral, endocrine, inflammatory, and epigenetic pathways. SUMMARY: Pregnancy is increasingly understood in a life course perspective, but rigorously testing hypotheses on early-life effects is still difficult. In order to improve the health outcomes of all women, we need to expand our toolkit of methods and theory. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1007/s40471-021-00279-0.",Please summerize the given abstract to a title
Benign Paroxysmal Positional Vertigo (BPPV) in COVID-19,"Objective: The purpose of this article is to describe BPPV in COVID-19 patients by discussing the possible mechanisms underlying the onset of this vertigo. Methods: We studied eight patients (4 F, 4 M, aged between 44 and 69 years) with COVID-19 infections complaining of vertigo. Patients were evaluated at the end of infection with an accurate clinical history, and the investigation of spontaneous, positional and positioning nystagmus. Results: The vestibular findings showed benign paroxysmal positional vertigo (BPPV) in all the patients. Three patients had a mild phenotype of the COVID infection, whereas five subjects were hospitalized for the COVID infection and in three cases intensive care was required. Vestibular evaluation showed an involvement of posterior semicircular canals in five patients and horizontal in three. Three patients were treated with the Epley maneuver, two with Semont, one with Lempert and two with Gufoni maneuvers. Conclusions: We hypothesize that BPPV in COVID-19 infections can be relate to drugs, prolonged bed rest and to direct damage by viral infection on the peripheral vestibular system and in particular on the otolitic membrane due to the cytopathic effect of the virus and to the inflammatory response. Studies on large series of patients are needed to confirm our preliminary observation and to better evaluate the pathophysiological mechanisms underlying BPPV in these patients.",Please summerize the given abstract to a title
CrossSum: Beyond English-Centric Cross-Lingual Abstractive Text Summarization for 1500+ Language Pairs,"We present CrossSum, a large-scale cross-lingual abstractive summarization dataset comprising 1.7 million article-summary samples in 1500+ language pairs. We create CrossSum by aligning identical articles written in different languages via cross-lingual retrieval from a multilingual summarization dataset. We propose a multi-stage data sampling algorithm to effectively train a cross-lingual summarization model capable of summarizing an article in any target language. We also propose LaSE, a new metric for automatically evaluating model-generated summaries and showing a strong correlation with ROUGE. Performance on ROUGE and LaSE indicate that pretrained models fine-tuned on CrossSum consistently outperform baseline models, even when the source and target language pairs are linguistically distant. To the best of our knowledge, CrossSum is the largest cross-lingual summarization dataset and the first-ever that does not rely solely on English as the pivot language. We are releasing the dataset, alignment and training scripts, and the models to spur future research on cross-lingual abstractive summarization. The resources can be found at https://github.com/csebuetnlp/CrossSum.",Please summerize the given abstract to a title
Barriers and facilitators to resuming meaningful daily activities among critical illness survivors in the UK: a qualitative content analysis,"OBJECTIVE: To identify critical illness survivors’ perceived barriers and facilitators to resuming performance of meaningful activities when transitioning from hospital to home. DESIGN: Secondary content analysis of semistructured interviews about patients’ experiences of intensive care (primary analysis disseminated on the patient-facing website www.healthtalk.org). Two coders characterised patient-perceived barriers and facilitators to resuming meaningful activities. To facilitate clinical application, we mapped the codes onto the Person-Task-Environment model of performance, a patient-centred rehabilitation model that characterises complex interactions among the person, task and environment when performing activities. SETTING: United Kingdom, 2005–2006. PARTICIPANTS: 39 adult critical illness survivors, sampled for variation among demographics and illness experiences. RESULTS: Person-related barriers included negative mood or affect, perceived setbacks; weakness or limited endurance; pain or discomfort; inadequate nutrition or hydration; poor concentration/confusion; disordered sleep/hallucinations/nightmares; mistrust of people or information; and altered appearance. Task-related barriers included miscommunication and managing conflicting priorities. Environment-related barriers included non-supportive health services and policies; challenging social attitudes; incompatible patient–family coping (emotional trauma and physical disability); equipment problems; overstimulation; understimulation; and environmental inaccessibility. Person-related facilitators included motivation or attitude; experiencing progress; and religion or spirituality. Task-related facilitators included communication. Environment-related facilitators included support from family, friends or healthcare providers; supportive health services and policies; equipment; community resources; medications; and accessible housing. Barriers decreased and facilitators increased over time. Six barrier–facilitator domains dominated based on frequency and emphasis across all performance goals: mood/motivation, setbacks/progress, fatiguability/strength; mis/communication; lack/community support; lack/health services and policies. CONCLUSIONS: Critical illness survivors described a comprehensive inventory of 18 barriers and 11 facilitators that align with the Person-Task-Environment model of performance. Six dominant barrier–facilitator domains seem strong targets for impactful interventions. These results verify previous knowledge and offer novel opportunities for optimising patient-centred care and reducing disability after critical illness.",Please summerize the given abstract to a title
In-vivo evidence of systemic endothelial vascular dysfunction in COVID-19,"BACKGROUND: Endothelial dysfunction is one of the underlying mechanisms to vascular and cardiac complications in patients with COVID-19. We sought to investigate the systemic vascular endothelial function and its temporal changes in COVID-19 patients from a non-invasive approach with reactive hyperemia peripheral arterial tonometry (PAT). METHODS: This is a prospective, observational, case-control and blinded study. The population was comprised by 3 groups: patients investigated during acute COVID-19 (group 1), patients investigated during past COVID-19 (group 2), and controls 1:1 matched to COVID-19 patients by demographics and cardiovascular risk factors (group 3). The natural logarithmic scaled reactive hyperemia index (LnRHI), a measure of endothelium-mediated dilation of peripheral arteries, was obtained in all the participants and compared between study groups. RESULTS: 144 participants were enrolled (72 COVID-19 patients and 72 matched controls). Median time from COVID-19 symptoms to PAT assessment was 9.5 and 101.5 days in groups 1 and 2, respectively. LnRHI was significantly lower in group 2 compared to both group 1 and controls (0.53 ± 0.23 group 2 vs. 0.72 ± 0.26 group 1, p = 0.0043; and 0.79 ± 0.23 in group 3, p < 0.0001). In addition, within group 1, it was observed a markedly decrease in LnRHI from acute COVID-19 to post infection stage (0.73 ± 0.23 vs. 0.42 ± 0.26, p = 0.0042). CONCLUSIONS: This study suggests a deleterious effect of SARS-CoV-2 infection on systemic vascular endothelial function. These findings open new venues to investigate the clinical implication and prognostic role of vascular endothelial dysfunction in COVID-19 patients and post-COVID syndrome using non-invasive techniques.",Please summerize the given abstract to a title
Prime-boost vaccination of mice and rhesus macaques with two novel adenovirus vectored COVID-19 vaccine candidates,"ABSTRACTCOVID-19 vaccines are being developed urgently worldwide. Here, we constructed two adenovirus vectored COVID-19 vaccine candidates of Sad23L-nCoV-S and Ad49L-nCoV-S carrying the full-length gene of SARS-CoV-2 spike protein. The immunogenicity of two vaccines was individually evaluated in mice. Specific immune responses were observed by priming in a dose-dependent manner, and stronger responses were obtained by boosting. Furthermore, five rhesus macaques were primed with 5 × 109 PFU Sad23L-nCoV-S, followed by boosting with 5 × 109 PFU Ad49L-nCoV-S at 4-week interval. Both mice and macaques well tolerated the vaccine inoculations without detectable clinical or pathologic changes. In macaques, prime-boost regimen induced high titers of 103.16 anti-S, 102.75 anti-RBD binding antibody and 102.38 pseudovirus neutralizing antibody (pNAb) at 2 months, while pNAb decreased gradually to 101.45 at 7 months post-priming. Robust T-cell response of IFN-Î³ (712.6 SFCs/106 cells), IL-2 (334 SFCs/106 cells) and intracellular IFN-Î³ in CD4+/CD8+ T cell (0.39%/0.55%) to S peptides were detected in vaccinated macaques. It was concluded that prime-boost immunization with Sad23L-nCoV-S and Ad49L-nCoV-S can safely elicit strong immunity in animals in preparation of clinical phase 1/2 trials.",Please summerize the given abstract to a title
"Farewell, Francisco.","The community of transplant infectious disease is mourning the unexpected death of Francisco M. Marty, 53, born on March 26th, 1968 and passed away on April 8th, 2021. Having shaped an emerging medical discipline over two decades, with his outstanding dedication and sensitivity, knowledge and skill, intelligence and compassion, Francisco will remain in our thoughts, a splendid paragon for medical doctors and clinician scientists around the globe, and for us in transplant infectious disease. This article is protected by copyright. All rights reserved.",Please summerize the given abstract to a title
"Exploring the Impact of COVID-19 Response on Population Health in Saudi Arabia: Results from the ""Sharik"" Health Indicators Surveillance System during 2020","BACKGROUND: Although some studies have explored the effects of responses to COVID-19 on mortality, there are limited data on their effects on more immediate health risk factors and the trends of chronic diseases. OBJECTIVE: To explore the prevalence of some behavioral health risk factors, intermediate risk factors, and chronic diseases at different timepoints during 2020 using the data available from a currently used surveillance system in Saudi Arabia. METHODS: This study undertook a secondary analysis of data from the Sharik Health Indicators Surveillance System (SHISS). The SHISS employs short cross-sectional phone interviews, conducted in all 13 administrative regions of Saudi Arabia on a quarterly basis. Each interview lasts approximately 4 min and is conducted by a trained data collector. The SHISS collects demographic data, as well as data on the major behavioral and intermediate chronic disease risk factors and the major chronic diseases, including diabetes, heart disease, stroke, cancer, and chronic respiratory diseases. RESULTS: Of the 44,782 potential participants contacted in 2020, 30,134 completed the interview, with a response rate of 67.29%. Out of the total participants, 51.2% were female. The mean age was 36.5. The behavioral risk factors in this period exhibited significant changes compared to those in the first quarter (Q1) of 2020, when there were no significant restrictions on daily activities. These significant changes are related to reductions in fruit and vegetable intake (adjusted odds ratio (AOR), 0.23) and physical activity (AOR, 0.483), and a significant increase in e-cigarette use (AOR 1.531). In terms of the intermediate risk factors observed in the SHISS, significant increases in hypercholesterolemia (AOR, 1.225) and hypertension (AOR, 1.190) were observed. Finally, heart disease (AOR, 1.279) and diabetes (AOR, 1.138) displayed significant increases compared to Q1. CONCLUSIONS: This study shows some evidence of the impact of responses to COVID-19 on the health of the population in Saudi Arabia. Significant reductions in fruit and vegetable intake and physical activity, and significant increases in e-cigarette use, hypertension, and hypercholesterolemia may increase the burden of chronic diseases in Saudi Arabia in the near future. Thus, continuous monitoring of the health risk factors within the population, and early interventions, are recommended to prevent future increases in chronic diseases.",Please summerize the given abstract to a title
Short-Term Dexamethasone in Sars-CoV-2 Patients.,"BACKGROUND Dexamethasone, a synthetic glucocorticoid, has anti-inflammatory and immunosuppressive properties. There is a hyperinflammatory response involved in the clinical course of patients with pneumonia due to SARS-CoV-2. To date, there has been no definite therapy for COVID-19. We reviewed the charts of SARS-CoV-2 patients with pneumonia and moderate to severely elevated CRP and worsening hypoxemia who were treated with early, short-term dexamethasone. METHODS We describe a series of 21 patients who tested positive for SARS-CoV-2 and were admitted to The Miriam Hospital in Providence, RI, and were treated with a short course of dexamethasone, either alone or in addition to current investigative therapies. RESULTS CRP levels decreased significantly following the start of dexamethasone from mean initial levels of 129.52 to 40.73 mg/L at time of discharge. 71% percent of the patients were discharged home with a mean length of stay of 7.8 days. None of the patients had escalation of care, leading to mechanical ventilation. Two patients were transferred to inpatient hospice facilities on account of persistent hypoxemia, in line with their documented goals of care. CONCLUSIONS A short course of systemic corticosteroids among inpatients with SARS-CoV-2 with hypoxic respiratory failure was well tolerated, and most patients had improved outcomes. This limited case series may not offer concrete evidence towards the benefit of corticosteroids in COVID-19. However, patients' positive response to short-term corticosteroids demonstrates that they may help blunt the severity of inflammation and prevent a severe hyperinflammatory phase, in turn reducing the length of stay, ICU admissions, and healthcare costs.",Please summerize the given abstract to a title
An overview of some potential immunotherapeutic options against COVID-19,"After the advent of the novel severe acute respiratory syndrome coronavirus 2 (SARS-CoV2) in the late 2019, the resulting severe and pernicious syndrome (COVID-19) immediately was deployed all around the world. To date, despite relentless efforts to control the disease by drug repurposing, there is no approved specific therapy for COVID-19. Given the role of innate and acquired immune components in the control and elimination of viral infections and inflammatory mutilations during SARS-CoV2 pathogenesis, immunotherapeutic strategies appear to be beneficent. Passive immunotherapies such as convalescent plasma, which has received much attention especially in severe cases, as well as suppressing inflammatory cytokines, interferon administration, inhibition of kinases and complement cascade, virus neutralization with key engineered products, cell-based therapies, immunomodulators and anti-inflammatory drugs are among the key immunotherapeutic approaches to deal with COVID-19, which is discussed in this review. Also, details of leading COVID-19 vaccine candidates as the most potent immunotherapy have been provided. However, despite salient improvements, there is still a lack of completely assured vaccines for universal application. Therefore, adopting proper immunotherapies according to the cytokine pattern and involved immune responses, alongside engineered biologics specially ACE2-Fc to curb SARS-CoV2 infection until achieving a tailored vaccine is probably the best strategy to better manage this pandemic. Therefore, gaining knowledge about the mechanism of action, potential targets, as well as the effectiveness of immune-based approaches to confront COVID-19 in the form of a well-ordered review study is highly momentous.",Please summerize the given abstract to a title
Epigenetic Biomarkers Screening of Non-Coding RNA and DNA Methylation Based on Peripheral Blood Monocytes in Smokers,"This study aims to use bioinformatics methods to determine the epigenetic changes in microRNA expression and DNA methylation caused by cigarette smoking. The data of mRNA, miRNA expression, and methylation microarray were obtained from the GEO database to filter differentially expressed genes (DEGs), differentially expressed miRNAs (DEMs), and methylated CpG probes (DMPs) through the limma package. The R clusterProfile package was used for functional annotation and enrichment analysis. The protein-protein interaction (PPI) network was constructed by the String database and visualized in Cytoscape software. Starbase database was employed to predict lncRNA and CirRNA based on the sequence of miRNA, and to establish a regulatory network of ceRNA. By overlapping DEG and DEM, 107 down-miRNA-targeted up-regulated genes and 65 up-miRNA-target down-regulated genes were obtained, which were mainly enriched in autophagy signaling pathways and protein ubiquitination pathways, respectively. In addition, 324 genes with low methylation and high expression and 204 genes with high methylation and low expression were respectively related to the degeneration of the nervous system and the function of the cardiovascular system. Interestingly, 43 genes were up-regulated under the dual regulation of reduced miRNA and hypomethylation, while 14 genes were down-regulated under the dual regulation of increased miRNA and hypermethylation. Ten chemicals have been identified as putative therapeutic agents for pathological conditions caused by smoking. In addition, among these genes, HSPA4, GRB2, PRKCA, and BCL2L1 could play a fundamental role in related diseases caused by smoking and may be used as the biomarkers for precise diagnosis and targets for future therapies of smoking-related diseases.",Please summerize the given abstract to a title
Caring for cancer patients during COVID-19 global pandemic: Risk factors and precautionary principle,"The current global pandemic COVID-19 challenges oncologists to reorganise cancer care in order to strikingly reduce hospital visits and admissions. Cancer patients are more susceptible to infections and likely to get severe consequences compared with other patients. Health-care facility services are quickly changing their systems and workflow in response to the global pandemic COVID-19 crisis. These alterations mitigate infection risks and give profound effects on crucial aspects of care, including patients with cancer. Here, we discuss the current situations and a roadmap for cancer care during the COVID-19 crisis. In the prevalence of global cancer and higher transmission of pandemic COVID-19, there is an urgent need to realise the effect of SARS-CoV-2 infection and their related life-threatening outcomes specifically for cancer patients.",Please summerize the given abstract to a title
Knowledge management in two universities before and during the COVID-19 effect in Peru,"The knowledge management evaluation is an important and comple problem, in Peruvian universities As an evidence, an efficient policy in knowledge management will allow a critical success factor, besides an advancing teaching and research Likewise, the innovation is a key resource for the well-being of national economies and international competitive advantages, especially with COVID-19 restrictions This research article has demonstrated that an assessment of knowledge management (KM) capability in two private universities could be used for an efficient policy, in order to obtain the best result in knowledge management maturity Having discussed how to construct a model for KM, the final section of this paper addresses ways of the incorporation of this technology in the society The case study has been developed in Lima, associated to two universities with 271 teachers and 5928 students;with this model could be used for KM assessment in all university in Peru This study uses the “Intellectus Model, Mejia model organizational knowledge capability areas and Knowledge Management Capability Assessment (KMCA) model for the assessment, before and during COVID-19 Our findings have demonstrated the university performance and challenges associated to knowledge management during COVID-19, the new policy for virtual instructions and digital transformation of the educational process have improved the cost efficiencies However, this system also has a number of serious drawbacks and challenges in innovation, researching, connections with industry and academy;this 2021 requires a new perspective in innovation with a knowledge management scheme in Peruvian universities",Please summerize the given abstract to a title
Critical Role of Simultaneous Reduction of Atmospheric Odd Oxygen for Winter Haze Mitigation,"The lockdown due to COVID-19 created a rare opportunity to examine the nonlinear responses of secondary aerosols, which are formed through atmospheric oxidation of gaseous precursors, to intensive precursor emission reductions. Based on unique observational data sets from six supersites in eastern China during 2019-2021, we found that the lockdown caused considerable decreases (32-61%) in different secondary aerosol components in the study region because of similar-degree precursor reductions. However, due to insufficient combustion-related volatile organic compound (VOC) reduction, odd oxygen (Ox = O3 + NO2) concentration, an indicator of the extent of photochemical processing, showed little change and did not promote more decreases in secondary aerosols. We also found that the Chinese provinces and international cities that experienced reduced Ox during the lockdown usually gained a greater simultaneous PM2.5 decrease than other provinces and cities with an increased Ox. Therefore, we argue that strict VOC control in winter, which has been largely ignored so far, is critical in future policies to mitigate winter haze more efficiently by reducing Ox simultaneously.",Please summerize the given abstract to a title
