input,output,instruction
What to expect if I have Scrotal swelling  (Outlook/Prognosis)?,It depends on the underlying cause.,Answer this question truthfully
Who is at highest risk for Strep throat ?,"Strep throat is spread by person-to-person contact of nasal secretions or saliva. As a result, strep throat is most prominent during flu season, around the winter. People with strep are contagious for 24-48 hours after starting antibiotics, and should not go to school or work.
To prevent spreading the illness to others, anyone with strep should practice good hand washing, especially if preparing food for others. One should also get a toothbrush, and start using it after no longer being contagious but before finishing antibiotics. Bacteria can stay on the toothbrush and pose a risk of reinfection.",Answer this question truthfully
When to seek urgent medical care when I have Separation anxiety disorder ?,Call your health care provider if your child has significant separation anxiety after age 2.,Answer this question truthfully
What are the symptoms of Clostridium?,"Symptoms-
Frequent, watery diarrhea (may be 3-4 in mild diseases and can go up to 15 in severe infection) Abdominal pain Decrease appetite Low-grade fever Blood or pus in the stool Sepsis(infection that spreads through the blood) or a perforation (a hole) in the intestines.",Answer this question truthfully
What are the symptoms of Peripheral arterial disease?,"The classic symptoms are pain, achiness, fatigue, burning, or discomfort in the muscles of your feet, calves, or thighs. These symptoms usually appear during walking or exercise and go away after several minutes of rest.
At first, these symptoms may appear only when you walk uphill, walk faster, or walk for longer distances. Slowly, these symptoms come on more quickly and with less exercise. Your legs or feet may feel numb when you are at rest. The legs also may feel cool to the touch, and the skin may look pale.
When peripheral artery disease becomes severe, you may have:
Impotence Pain and cramps at night Pain or tingling in the feet or toes, which can be so severe that even the weight of clothes or bed sheets is painful Pain that is worse when you raise the leg and improves when you dangle your legs over the side of the bed Skin that looks dark and blue Sores that do not heal",Answer this question truthfully
Who is at highest risk for Mouth ulcers ?,"Individuals who have been diagnosed with these conditions may have a higher risk:
Canker sores Gingivostomatitis Herpes simplex (fever blister) Leukoplakia Oral cancer Oral lichen planus Oral thrush",Answer this question truthfully
Who is at highest risk for Persistent left superior vena cava ?,The cause of persistent left superior vena cava is not clear. Some patients with persistent left superior vena cava have other congenital heart disease.,Answer this question truthfully
What are the Symptoms of Yersinia Pestis Infection?,"Plague symptoms depend on how the patient was exposed to the plague bacteria. The plague can take different clinical forms, but the most common are bubonic, pneumonic and septicemic.
Symptoms appear suddenly, usually after 2 - 5 days of exposure to the bacteria, and may include:
Sudden onset of fever Malaise Headache Chills Weakness Muscle pain Seizures One or more swollen, tender and painful lymph nodes (called buboes):
Commonly found in the groin, but may occur in the armpits or neck, most often at the site of the infection (bite or scratch) Pain may occur in the area before the swelling appears
Symptoms appear suddenly, typically 2 - 3 days after exposure, and may include:
Fever Headache Weakness Rapidly developing pneumonia, with:
Shortness of breath Chest pain Cough Bloody or watery mucous
This type may cause death even before its symptoms occur. Symptoms may include:
Fever Chills Nausea Vomiting Extreme weakness Abdominal pain Bleeding into the skin and other organs (due to blood clotting problems) Diarrhea Necrosis of tissues, such as fingers, toes and nose",Answer this question truthfully
When to seek urgent medical care when I have Hypospadias ?,Typically a child is diagnosed with hypospadias shortly after birth. Call your health care provider if you notice that your son's urethral opening is abnormally located or that his penis becomes curved during erection.,Answer this question truthfully
What causes Avian influenza?,"The avian influenza is caused by the H5N1 virus, a subtype of type A influenza virus.",Answer this question truthfully
What to expect if I have Vertebrobasilar insufficiency  (Outlook/Prognosis)?,"The outlook depends in part on the underlying cause. Strokes are potentially life-threatening, and require urgent medical care. Age and the person's overall health are taken into consideration when determining one's outlook for recovery. A substantial recovery can be expected in younger patients who have no significant medical problems.
Recovery also depends on the area of the brain that has been affected. The outlook is very poor when the patient is in a coma or cannot move both arms and legs.",Answer this question truthfully
What to expect if I have Typhus  (Outlook/Prognosis)?,"Without treatment, death may occur in 10 - 60% of patients with epidemic typhus. Patients over age 60 have the highest risk of death. Patients who receive treatment quickly should completely recover. Less than 2% of untreated patients with murine typhus may die. Prompt antibiotic treatment will cure nearly all patients. Possible Complications
Renal insufficiency Pneumonia Central nervous system damage",Answer this question truthfully
When to seek urgent medical care when I have Mastoiditis ?,"Call your child's doctor if:
Pain, fever, or irritability do not improve within 24 to 48 hours with antibiotic therapy At the start, the child seems sicker than just an ear infection Your child has a high fever or severe pain Severe pain suddenly stops hurting -- this may indicate a ruptured eardrum Symptoms worsen New symptoms appear, especially severe headache, dizziness, swelling around the ear, or twitching of the face muscles
For a child younger than 6 months, let the doctor know right away if the child has a fever, even if no other symptoms are present.",Answer this question truthfully
What to expect if I have Secondary amyloidosis  (Outlook/Prognosis)?,"Since kidney is the most commonly involved organ, it may lead to kidney failure and other complications including death.",Answer this question truthfully
When to seek urgent medical care when I have Inflammatory bowel disease ?,Speak with your doctor and set up an immediate consultation if you experience any of the symptoms associated with Inflammatory bowel disease.,Answer this question truthfully
When to seek urgent medical care when I have Asthma ?,"Call for an appointment with your health care provider if asthma symptoms develop. Call your health care provider or go to the emergency room if:
An asthma attack requires more medication than recommended Symptoms get worse or do not improve with treatment You have shortness of breath while talking Your peak flow measurement is 50-80% of your personal best
Go to the emergency room if:
Drowsiness or confusion develops There is severe shortness of breath at rest The peak flow measurement is less than 50% of your personal best You have severe chest pain",Answer this question truthfully
Who is at highest risk for Behcet%27s syndrome ?,"Doctors aren't sure what causes Behcet's. It is rare in the United States, but is common in the Middle East and Asia. It mainly affects people in their 20s and 30s. Diagnosing Behcet's can take a long time, because symptoms may come and go, and it may take months or even years to have all of the symptoms. There is no cure. Treatment focuses on reducing pain and preventing serious problems.",Answer this question truthfully
What causes Dyspnea?,"Shortness of breath has many different causes:
A blockage of the air passages in your nose, mouth, or throat may lead to difficulty breathing. Heart disease can cause breathlessness if your heart is unable to pump enough blood to supply oxygen to your body. If your brain, muscles, or other body organs do not receive enough oxygen, a sense of breathlessness may occur. Lung disease can cause breathlessness. Sometimes emotional distress, such as anxiety, can lead to difficulty breathing.
The following problems may cause breathing difficulty:
Problems with the lungs: Blood clot in the arteries of the lungs (pulmonary embolism) Bronchiolitis Chronic obstructive pulmonary disease (COPD), asthma, and other chronic lung problems Pneumonia Pulmonary hypertension
Problems with the airways leading to the lungs: Choking on something stuck in the airways Croup Epiglottitis
Problems with the heart: Heart attack or angina Heart defects from birth (congenital heart disease) Heart failure Heart rhythm disturbances (arrhythmias)
Other problems: Allergies (such as to mold, dander, or pollen) Climbing to high altitudes where there is less oxygen in the air Compression of the chest wall Dust in the environment Hiatal hernia Obesity Panic attacks",Answer this question truthfully
Who is at highest risk for Polydipsia ?,A patient having any of the above mentioned condition can develop Polydipsia.,Answer this question truthfully
What are the symptoms of Mumps?,"Common symptoms include:
Face pain Fever Headache Sore throat Swelling of the parotid glands (the largest salivary glands, located between the ear and the jaw) Swelling of the temples or jaw (temporomandibular area)
Other symptoms of this disease that can occur in males:
Testiclar lump Testicle pain Scrotal swelling",Answer this question truthfully
When to seek urgent medical care when I have Beckwith-Wiedemann syndrome ?,"If you have a child with Beckwith-Wiedemann syndrome and worrisome symptoms develop, call your pediatrician immediately.",Answer this question truthfully
What to expect if I have Renal papillary necrosis  (Outlook/Prognosis)?,"How well a person does depends on the underlying condition. If the underlying disorder can be controlled, the condition may go away on its own. In some cases, persons with this condition develop kidney failure.",Answer this question truthfully
What are the symptoms of Human papillomavirus?,"HPV may lead to a broad spectrum of diseases. If you are infected you may have no signs or symptoms of HPV infection or, you may have increased risk of developing cancer.
There are over 100 different kinds of HPV and not all of them cause health problems. Some types of HPV may cause problems such as genital warts, while others can cause cancer of the cervix, vagina, vulva, or anus. Most of these problems are caused by types 6, 11, 16 or 18. 
When cancer develops, it may affect men and women. According to the CDC, HPV may be involved in different types of cancer, with the following incidences: 
Cervical cancer: The most common HPV -associated cancer. Almost all cervical cancers are caused by HPV. Vulvar cancer: About 50% are linked to HPV. Vaginal cancer: About 65% are linked to HPV. Penile cancer: About 35% are linked to HPV. Anal cancer: About 95% are linked to HPV. Oropharyngeal cancer: About 60% are linked to HPV.",Answer this question truthfully
Who is at highest risk for Endocarditis ?,"The following increase your chances for developing endocarditis:
Artificial heart valves Congenital heart disease (atrial septal defect, patent ductus arteriosus, and others) Heart valve problems (such as mitral insufficiency) History of rheumatic heart disease Intravenous drug users are also at risk for this condition, because unsterile needles can cause bacteria to enter the bloodstream.",Answer this question truthfully
What to expect before Mitral valve surgery (minimally invasive)?,"Always tell your doctor or nurse:
If you are or could be pregnant What drugs you are taking, even drugs, supplements, or herbs you bought without a prescription.
You may be able to store blood in the blood bank for transfusions during and after your surgery. Ask your surgeon about how you and your family members can donate blood.
For the 2-week period before surgery, you may be asked to stop taking drugs that make it harder for your blood to clot. These might cause increased bleeding during the surgery.
Some of them are aspirin, ibuprofen (Advil, Motrin), and naproxen (Aleve, Naprosyn). If you are taking warfarin (Coumadin) or clopidogrel (Plavix), talk with your surgeon before stopping or changing how you take these drugs.
Prepare your house for when you get home from the hospital.
The day before your surgery, shower and shampoo well. You may be asked to wash your whole body below your neck with a special soap. Scrub your chest two or three times with this soap. You also may be asked to take an antibiotic to guard against infection.
During the days before your surgery:
Ask your doctor which drugs you should still take on the day of your surgery. If you smoke, you must stop. Ask your doctor for help. Always let your doctor know if you have a cold, flu, fever, herpes breakout, or any other illness in the time leading up to your surgery.
On the day of the surgery:
You will usually be asked not to drink or eat anything after midnight the night before your surgery. This includes chewing gum and using breath mints. Rinse your mouth with water if it feels dry, but be careful not to swallow. Take the drugs your doctor told you to take with a small sip of water. Your doctor or nurse will tell you when to arrive at the hospital.",Answer this question truthfully
What causes Progressive multifocal leukoencephalopathy?,"The JC virus (JCV) causes PML. By age 10, most people have been infected with this virus, but it hardly ever causes symptoms.",Answer this question truthfully
When to seek urgent medical care when I have Nosebleed ?,"Get emergency care if:
Bleeding does not stop after 20 minutes Nose bleeding occurs after an injury to the head -- this may suggest a skull fracture and x-rays should be taken Your nose may be broken (for example, it is misshapen after a blow or injury)
Call your doctor if you or your child has repeated nosebleeds, particularly if they are becoming more frequent and are not associated with a cold or other minor irritation.",Answer this question truthfully
What to expect if I have Autism  (Outlook/Prognosis)?,"Autism remains a challenging condition for children and their families, but the outlook today is much better than it was a generation ago. At that time, most people with autism were placed in institutions.
Today, with the right therapy, many of the symptoms of autism can be improved, though most people will have some symptoms throughout their lives. Most people with autism are able to live with their families or in the community.
The outlook depends on the severity of the autism and the level of therapy the person receives.",Answer this question truthfully
What are the symptoms of Tetralogy of Fallot?,"Clubbing of fingers (skin or bone enlargement around the fingernails) Cyanosis, which becomes more pronounced when the baby is upset Difficult feeding (poor feeding habits) Failure to gain weight Passing out Poor development Squatting during episodes of cyanosis",Answer this question truthfully
What causes Perioral dermatitis?,"While its exact cause is unknown, it may appear after skin creams containing steroids are applied to the face to treat other conditions.",Answer this question truthfully
What causes Cat scratch fever?,"Cat scratch disease is caused by Bartonella henselae. The disease is spread through contact with an infected cat (a bite or scratch), or contact with cat saliva on broken skin or the white of the eye. About 2 - 3 weeks after becoming infected, lymph node swelling (lymphadenopathy) occurs near the site of the scratch or bite. Occasionally, an infected lymph node may form a tunnel (fistula) through the skin and drain (leak fluid). Cat scratch disease is a common cause of chronic swollen lymph nodes in children.",Answer this question truthfully
When to seek urgent medical care when I have Imperforate anus ?,This disorder is usually discovered when the newborn infant is first examined. Call your baby's health care provider if the child that was treated for imperforate anus has abdominal pain or fails to develop any bowel control by the age of 3.,Answer this question truthfully
When to seek urgent medical care when I have Mittelschmerz ?,"Call for an appointment with your health care provider if ovulation pain seems to change, lasts longer than usual, or occurs with vaginal bleeding.",Answer this question truthfully
What are the causes of a Direct inguinal hernia?,"Direct inguinal hernias are caused by connective tissue degeneration of the abdominal muscles, which causes weakening of the muscles during the adult years.",Answer this question truthfully
Who is at highest risk for Gaucher%27s disease ?,"Gaucher disease affects an estimated 1 in 50,000 to 1 in 100,000 people in the general population. Persons of Eastern and Central European (Ashkenazi) Jewish heritage are at highest risk for the disease.
It is an autosomal recessive disease. This means that the mother and father must both pass one abnormal copy of the gene to the child in order for the child to develop the disease. A parent who silently carries an abnormal copy of the gene is called a carrier.",Answer this question truthfully
What are the symptoms of Amyloidosis?,"Symptoms depend on the organs affected by the deposits. These organs can include the tongue, intestines, skeletal and smooth muscles, nerves, skin, ligaments, heart, liver, spleen, and kidneys. Symptoms include:
Abnormal heart rhythm (arrythmia) Enlarged tongue Fatigue Numbness of hands and feet Shortness of breath Skin changes Swallowing problems Swelling in the arms and legs Weak hand grip Weight loss
Other symptoms that may occur with this disease:
Decreased urine output Diarrhea Hoarseness or changing voice Joint pain Weakness",Answer this question truthfully
What to expect if I have Tennis elbow  (Outlook/Prognosis)?,Most people improve with nonsurgical treatment. The majority of those who do have surgery show an improvement in symptoms.,Answer this question truthfully
When to seek urgent medical care when I have Schizoaffective disorder ?,"Call your health care or mental health provider if you or someone you know is experiencing any of the following:
Depression with feelings of hopelessness or helplessness Inability to care for basic personal needs Increase in energy and involvement in risky behavior that is sudden and not normal for you (for instance, going days without sleeping and feeling no need for sleep) Strange or unusual thoughts or perceptions Symptoms that get worse or do not improve with treatment Thoughts of suicide or of harming others",Answer this question truthfully
When to seek urgent medical care when I have Alcoholic hepatitis ?,"Call your health care provider if:
You develop symptoms of alcoholic hepatitis You develop symptoms after prolonged or heavy drinking You are concerned that drinking may be damaging your health",Answer this question truthfully
Who is at highest risk for Schwannoma ?,"Scientists believe that both unilateral and bilateral vestibular schwannomas form following the loss of the function of a gene on chromosome 22. (A gene is a small section of DNA responsible for a particular characteristic like hair color or skin tone). Scientists believe that this particular gene on chromosome 22 produces a protein that controls the growth of Schwann cells. When this gene malfunctions, Schwann cell growth is uncontrolled, resulting in a tumor. Scientists also think that this gene may help control the growth of other types of tumors. In neurofibromatosis type 2 patients, the faulty gene on chromosome 22 is inherited. For individuals with unilateral vestibular schwannoma, however, some scientists hypothesize that this gene somehow loses its ability to function properly.
These tumors are thought to occur when there is a defect in a gene that normally prevents tumors from forming. The cause of the genetic defect is not known. However, acoustic neuroma is often linked with the genetic disorder neurofibromatosis type 2 (NF2).
Acoustic neuromas are relatively uncommon, but they are one of the most common types of brain tumors.
The tumor is usually found at the base of the brain.",Answer this question truthfully
When to seek urgent medical care when I have Dysmenorrhea ?,"Call your doctor right away if:
Vaginal discharge is increased in amount or is foul-smelling. You have a fever. Your pain is significant, your period is more than one week late, and you have been sexually active.
Also call your doctor if:
Self-care measures don't relieve your pain after 3 months. You have an IUD that was placed more than 3 months ago. You pass blood clots or have other symptoms with the pain. Your pain is severe or sudden. Your pain occurs at times other than menstruation, begins more than 5 days before your period, or continues after your period is over.",Answer this question truthfully
When to seek urgent medical care when I have Malaise ?,"Contact your health care provider if:
You have other symptoms with the malaise.
Malaise lasts longer than one week, with or without other symptoms.",Answer this question truthfully
When to seek urgent medical care when I have Occupational lung disease ?,Call for an appointment with your health care provider if you develop symptoms of occupational lung disease.,Answer this question truthfully
What are the symptoms of Toxic shock syndrome?,"Confusion Diarrhea General ill-feeling Headaches High fever, sometimes accompanied by chills Low blood pressure Muscle aches Nausea and vomiting Organ failure (usually kidneys and liver) Redness of eyes, mouth, throat Seizures Widespread red rash that looks like a sunburn -- skin peeling occurs 1 or 2 weeks after the rash, particularly on the palms of the hand or bottom of the feet",Answer this question truthfully
When to seek urgent medical care when I have Complex regional pain syndrome ?,"Contact your health care provider if you develop constant, burning pain in an arm, leg, hand, or foot.",Answer this question truthfully
Who is at highest risk for  stromal ovarian tumors ?,"Clinical data has suggested that the development of sexcord/ stromal ovarian tumors is related to several factors.
Some drugs or treatment protocols: Recent studies show that fertility drugs, androgens and estrogen replacement therapy may increase the risk. Pregnancy:Increasing age at first term pregnancy. Life-style: A rich-fat diet and obesity may increase the risk of getting ovarian cancer. Age: Clinical data suggest that age also plays a role in the development of some subtypes of stromal ovarian tumors. Preterm birth is risk factor for the developement.",Answer this question truthfully
Who is at highest risk for Tropical sprue ?,"Risk factors are:
Living in the tropics Long periods of travel to tropical destinations",Answer this question truthfully
What to expect if I have Roseola (patient infomation) (Outlook/Prognosis)?,Most children with roseola fully recover.,Answer this question truthfully
What are the symptoms of Granulosa cell tumour?,"Ovarian cancer symptoms are often vague. Women and their doctors often blame the symptoms on other, more common conditions. By the time the cancer is diagnosed, the tumor has often spread beyond the ovaries.
You should see your doctor if you have the following symptoms on a daily basis for more than a few weeks:
Bloating Difficulty eating or feeling full quickly Pelvic or abdominal pain
Other symptoms are also seen with ovarian cancer. However, these symptoms are also common in women who do not have cancer:
Abnormal menstrual cycles Digestive symptoms: Constipation Increased gas Indigestion Lack of appetite Nausea and vomiting Sense of pelvic heaviness Swollen abdomen or belly Unexplained back pain that worsens over time Vaginal bleeding Vague lower abdominal discomfort Weight gain or loss
Other symptoms that can occur with this disease:
Excessive hair growth Increased urinary frequency or urgency",Answer this question truthfully
When to seek urgent medical care when I have Obsessive compulsive personality disorder ?,Call for an appointment with your health care provider if perfectionism is interfering with your job or relationships.,Answer this question truthfully
When to seek urgent medical care when I have Gastroenteritis ?,"Call your health care provider if diarrhea persists for more than several days or if dehydration occurs. You should also contact your doctor if you or your child has these symptoms:
Blood in the stool Confusion Dizziness Dry mouth Feeling faint Nausea No tears when crying No urine for 8 hours or more Sunken appearance to the eyes Sunken soft spot on an infant's head (fontanelle)",Answer this question truthfully
What are the symptoms of Seasonal affective disorder?,"Symptoms usually build up slowly in the late autumn and winter months.
Symptoms are usually the same as with depression:
Increased appetite with weight gain (weight loss is more common with other forms of depression) Increased sleep and daytime sleepiness (too little sleep is more common with other forms of depression) Less energy and ability to concentrate in the afternoon Loss of interest in work or other activities Slow, sluggish, lethargic movement Social withdrawal Unhappiness and irritability",Answer this question truthfully
When to seek urgent medical care when I have Hydrocephalus ?,Seek medical attention IMMEDIATELY if you suspect hydrocephalus or see any of the signs or symptoms listed above. Hydrocephalus is a severe condition that could result in death if left untreated,Answer this question truthfully
Where to find Medical Care for fibromas?,Directions to Hospitals Treating Ovarian cancer,Answer this question truthfully
What to expect if I have Contact dermatitis  (Outlook/Prognosis)?,"Contact dermatitis usually clears up without complications within 2 or 3 weeks, but may return if the substance or material that caused it cannot be identified or avoided. A change of occupation or occupational habits may be necessary if the disorder is caused by occupational exposure.",Answer this question truthfully
When to seek urgent medical care when I have Hemoptysis ?,"Get medical help right away if you cough up blood and have:
A cough that produces more than a few teaspoons of blood Blood in your urine or stool Chest pain Dizziness Fever Light-headedness Severe shortness of breath",Answer this question truthfully
When to seek urgent medical care when I have Major depressive disorder ?,"If you have thoughts of suicide or harming yourself or others, immediate call your local emergency number (such as 911) or go to the hospital emergency room.
You may also call a suicide hotline from anywhere in the United States, 24 hours a day, 7 days a week: 1-800-SUICIDE or 1-800-999-9999.
Call your doctor right away if:
You hear voices that are not there. You have frequent crying spells with little or no reason. Your depression is disrupting work, school, or family life. You think that your current medications are not working or are causing side effects. Never change or stop any medications without consulting your doctor.",Answer this question truthfully
When to seek urgent medical care when I have Esophageal stricture ?,Call your health care provider if you have swallowing problems that do not go away.,Answer this question truthfully
What are the symptoms of Angioedema?,"The main symptom is sudden swelling below the skin surface. You may also develop welts or swelling on the surface of your skin. The swelling usually occurs around the eyes and lips. It may also be found on the hands, feet, and throat. The swelling may form a line or be more spread out. The welts are painful and may be itchy. They turn pale and swell if irritated. The deeper swelling of angioedema may also be painful.
Other symptoms may include:
Abdominal cramping. Breathing difficulty. Swollen eyes and mouth. Swollen lining of the eyes (chemosis).",Answer this question truthfully
What to expect after Mitral valve surgery (minimally invasive)?,"Expect to spend 3 - 5 days in the hospital after surgery. You will wake up in the intensive care unit (ICU) and recover there for 1 or 2 days. Nurses will closely watch monitors that show information about your vital signs (pulse, temperature, and breathing).
Two to three tubes will be in your chest to drain fluid from around your heart. They are usually removed 1 - 3 days after surgery. You may have a catheter (flexible tube) in your bladder to drain urine. You may also have intravenous (IV, in a vein) lines to get fluids.
You will go from the ICU to a regular hospital room. Your nurses and doctors will continue to monitor your heart and vital signs until you are stable enough to go home. You will receive pain medicine for pain in your chest.
Your nurse will help you slowly resume some activity. You may begin a program to make your heart and body stronger.
A temporary pacemaker may be placed in your heart if your heart rate becomes too slow after surgery.",Answer this question truthfully
What are the symptoms of Ileus ?,"Abdominal swelling (distention) Abdominal fullness, gas Abdominal pain and cramping Breath odor Constipation Inability to pass gas Vomiting",Answer this question truthfully
Where to find centers that perform Coombs test?,Directions to Hospitals Performing Coombs test,Answer this question truthfully
What causes Otorrhea?,"Most of the time, any fluid leaking out of an ear is ear wax.
A ruptured eardrum can cause a white, slightly bloody, or yellow discharge from the ear. Dry crusted material on a child's pillow is often a sign of a ruptured eardrum. The eardrum may also bleed.
Causes of a ruptured eardrum include:
Foreign object in the ear canal Injury from a blow to the head, foreign object, very loud noises, or sudden pressure changes (such as in airplanes) Inserting cotton-tipped swabs or other small objects into the ear Middle ear infection
Other causes of ear discharge include:
Eczema and other skin irritations in the ear canal Swimmer's ear - with symptoms such as itching, scaling, a red or moist ear canal, and pain that increases when you move the earlobe",Answer this question truthfully
Who is at highest risk for Pelvic inflammatory disease ?,"Risk factors include:
Male sexual partner with gonorrhea or chlamydia Multiple sexual partners Past history of any sexually transmitted disease Past history of PID Recent insertion of an IUD Sexual activity during adolescence",Answer this question truthfully
What are the Symptoms of (Dermatofibroma)?,"Dermatofibromas are most often found on the arms and legs of women. They are small brown or reddish-brown mobile nodules, and they feel quite firm. They may be tender to touch. Many lesions demonstrate a ""dimple sign,"" where the central portion puckers as the lesion is compressed on the sides. They generally do not change in size.",Answer this question truthfully
When to seek urgent medical care when I have Hypersensitivity pneumonitis ?,Call your health care provider if you develop symptoms of hypersensitivity pneumonitis.,Answer this question truthfully
When to seek urgent medical care when I have Rett syndrome ?,"Call your health care provider if you have any concerns about your child's development, if you notice a lack of normal development with motor or language skills in a child, or if there are associated disorders that need treatment.",Answer this question truthfully
What are the symptoms of Cerebral aneurysm?,"A person may have an aneurysm without having any symptoms. This kind of aneurysm may be found when an MRI or CT scan of the brain is done for another reason.
A cerebral aneurysm may begin to ""leak"" a small amount of blood. This may cause a severe headache that a patient may describe as ""the worst headache of my life."" Another phrase used to describe this is a sentinel headache. This means the headache could be a warning sign of a rupture days or weeks after the headache first happens.
Symptoms may also occur if the aneurysm pushes on nearby structures in the brain or breaks open (ruptures) and causes bleeding into the brain.
Symptoms depend on the location of the aneurysm, whether it breaks open, and what part of the brain it is pushing on, but may include:
Double vision Loss of vision Headaches Eye pain Neck pain Stiff neck
A sudden, severe headache is one symptom of an aneurysm that has ruptured. Other symptoms of an aneurysm rupture may include:
Confusion, lethargy, sleepiness, or stupor Eyelid drooping Headaches with nausea or vomiting Muscle weakness or difficulty moving any part of the body Numbness or decreased sensation in any part of the body Seizures Speech impairment Stiff neck (occasionally) Vision changes (double vision, loss of vision)
NOTE: A ruptured aneurysm is a medical emergency. Seek immediate medical help.",Answer this question truthfully
When to seek urgent medical care when I have Human respiratory syncytial virus ?,Refer to a health professional in case you think you are developing symptoms of the illness.,Answer this question truthfully
What to expect if I have Allergic conjunctivitis  (Outlook/Prognosis)?,"Treatment often relieves symptoms, but they can return if you continue to be exposed to the allergen.",Answer this question truthfully
When to seek urgent medical care when I have IgA nephropathy ?,Call your health care provider if you have bloody urine or if your urine output decreases.,Answer this question truthfully
What are the symptoms of Pericarditis?,"Chest pain is almost always present, which is caused by the inflamed pericardium rubbing against the heart. The pain:
May be felt in the neck, shoulder, back, or abdomen. Often increases with deep breathing and lying flat, and may increase with coughing and swallowing. Patients may often feel better sitting up and leaning forward. Can be a sharp, stabbing pleuritic type pain (pleuritis).
Fever, chills, or sweating if the condition is caused by an infection. Ankle, feet, and leg swelling (occasionally if there is a constriction of the heart filling in a condition known as constrictive pericarditis). Anxiety Breathing difficulty when lying down (orthopnea) Dry cough Fatigue",Answer this question truthfully
What are the symptoms of empyema?,"Chest pain, which worsens when you breathe in deeply (pleurisy) Dry cough Excessive sweating, especially night sweats Fever and chills General discomfort, uneasiness, or ill feeling (malaise) Shortness of breath Weight loss (unintentional)",Answer this question truthfully
What are the symptoms of Tetralogy of Fallot?,"Tetralogy of Fallot symptoms vary, depending on the extent of obstruction of blood flow out of the right ventricle and into the lungs. Signs and symptoms may include:
A bluish coloration of the skin caused by blood low in oxygen (cyanosis) Shortness of breath and rapid breathing, especially during feeding Loss of consciousness (fainting) Clubbing of fingers and toes — an abnormal, rounded shape of the nail bed Poor weight gain Tiring easily during play Irritability Prolonged crying A heart murmur Tet spells Sometimes, babies with tetralogy of Fallot will suddenly develop deep blue skin, nails and lips after crying, feeding, having a bowel movement, or kicking his or her legs upon awakening. These episodes are called ""Tet spells"" and are caused by a rapid drop in the amount of oxygen in the blood. Toddlers or older children may instinctively squat when they are short of breath. Squatting increases blood flow to the lungs. Tet spells are more common in young infants, around 2 to 4 months old.",Answer this question truthfully
What to expect if I have Dizziness  (Outlook/Prognosis)?,Most causes of dizziness are not serious and either quickly get better on their own or are easily treated.,Answer this question truthfully
Who is at highest risk for Colon polyps ?,"Polyps bigger than 1 centimeter (cm) have a higher cancer risk than polyps smaller than 1 centimeter. Risk factors include:
Age Family history of colon cancer or polyps A type of polyp called villous adenoma",Answer this question truthfully
What to expect if I have Endocarditis  (Outlook/Prognosis)?,Early treatment of bacterial endocarditis generally has a good outcome. Heart valves may be damaged if diagnosis and treatment are delayed.,Answer this question truthfully
What to expect if I have Melanoma of the eye  (Outlook/Prognosis)?,"The outcome for melanoma of the eye depends on the size of the cancer at the time of diagnosis. Most patients will survive at least 5 years from the time of diagnosis if the cancer has not spread outside the eye.
If the cancer has spread outside the eye, the chance of survival is much lower.",Answer this question truthfully
Is HFRS ever fatal?,"Depending upon which virus is causing the HFRS, death occurs in less than 1% to as many as 15% of patients. Fatality ranges from 5-15% for HFRS caused by Hantaan virus, and it is less than 1% for disease caused by Puumala virus.",Answer this question truthfully
What Causes Colon Polyps?,"Polyps of the colon and rectum are most often benign. This means they are not a cancer and do not spread. You may have one or many polyps. They become more common with age. There are many types of polyps.
Adenomatous polyps are a common type. They are gland -like growths that develop on the mucous membrane that lines the large intestine. They are also called adenomas and are most often one of the following:
Tubular polyp, which protrudes out in the lumen (open space) of the colon Villous adenoma, which is sometimes flat and spreading, and is more likely to become a cancer
When adenomas become cancerous, they are known as adenocarcinomas. Adenocarcinomas are cancers that originate in glandular tissue cells. Adenocarcinoma is the most common type of colorectal cancer.
Other types of polyps are:
Hyperplastic polyp, which rarely, if ever, develop into cancer Serrated polyp, which is less common, but may develop into cancer over time
A small number of people with polyps may also be linked to some inherited disorders, including:
Familial adenomatous polyposis (FAP) Gardner syndrome (a type of FAP) Juvenile polyposis (disease that causes many benign growths in the intestine, usually before 20 years old) Lynch syndrome (HNPCC, a disease that raises the chance of many types of cancer, including in the intestine) Peutz-Jeghers syndrome (disease that causes intestinal polyps, usually in the small intestine and usually benign)",Answer this question truthfully
When to seek urgent medical care when I have Hay fever ?,"Call for an appointment with your health care provider if severe symptoms of allergies or hay fever occur, if previously successful treatment has become ineffective, or if your symptoms do not respond to treatment.",Answer this question truthfully
What to expect if I have Narcissistic personality disorder  (Outlook/Prognosis)?,The outcome depends on the severity of the disorder.,Answer this question truthfully
What are the causes of Urticaria ?,"When you have an allergic reaction to a substance, your body releases histamine and other chemicals into your bloodstream. This causes itching, swelling, and other symptoms. Hives are a common reaction, especially in people with other allergies such as hay fever.
When swelling or welts occur around the face, especially the lips and eyes, it is called angioedema. Swelling from angioedema can also occur around your hands, feet, and throat.
Many substances can trigger hives, including:
Animal dander (especially cats) Insect bites Medications Pollen Shellfish, fish, nuts, eggs, milk, and other foods
Hives may also develop as a result of:
Emotional stress Extreme cold or sun exposure Excessive perspiration Illness (including lupus, other autoimmune diseases, and leukemia Infections such as mononucleosis",Answer this question truthfully
