input,Correct Answer,Correct Option,source
"In the assessment of visual fields which of the following is true?

A. A lesion at the optic chiasma leads to a homonymous hemianopia
B. Impulses from the retinal leave the eye via the optic radiation
C. An enlarged blind spot may occur because of papilloedema
D. The visual field examination maps out a patient's central vision",An enlarged blind spot may occur because of papilloedema,C,Clinical Knowledge
"What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)?

A. 18 gauge.
B. 20 gauge.
C. 22 gauge.
D. 24 gauge.",18 gauge.,A,Clinical Knowledge
"Which of the following promotes glucose and amino acid uptake by muscle?

A. Adrenaline
B. Insulin
C. Glycogen
D. Cortisol",Insulin,B,Clinical Knowledge
"A sexually active 20-year-old woman has had fever, chills, malaise, and pain of the vulva for 2 days. Examination shows a vulvar pustule that has ulcerated and formed multiple satellite lesions. Nodes are palpated in the inguinal and femoral areas. A smear of fluid from the lesions establishes the diagnosis. Which of the following is the most likely causal organism?

A. Chlamydia trachomatis
B. Haemophilus ducreyi
C. Neisseria gonorrhoeae
D. Streptococcus pyogenes (group A)",Haemophilus ducreyi,B,Professional Medicine
"Parasympathetic preganglionic nerves leave the central nervous system with the

A. third cranial nerves.
B. fourth cranial nerves.
C. fifth cranial nerves.
D. sixth cranial nerves.",third cranial nerves.,A,Anatomy
"Which of the following is true about a thyroid swelling?

A. It always elevates on swallowing
B. Lymph node enlargement is a good prognostic sign
C. An ultrasound of the swelling is the best test to determine whether the nodule is actively secreting hormone
D. A functioning nodule on isotope scanning is unlikely to be due to cancer",A functioning nodule on isotope scanning is unlikely to be due to cancer,D,Clinical Knowledge
"Which of the following is true of a lower motor neurone lesion in the arm?

A. It leads to increased tone in the arm (hypertonia)
B. Fasciculations are never seen
C. The reflexes are brisk
D. An ulna nerve palsy is an example of a lower motor neurone lesion",An ulna nerve palsy is an example of a lower motor neurone lesion,D,Clinical Knowledge
"A normal heart rate for an adult at rest is:

A. 60-80 bpm.
B. 60-100 bpm.
C. 60-90 bpm.
D. 60-110 bpm.",60-100 bpm.,B,Clinical Knowledge
"Pharyngeal mucosa is innervated by the glossopharyngeal nerves because it develops from the

A. first pharyngeal arch.
B. second pharyngeal arch.
C. third pharyngeal arch.
D. fourth pharyngeal arch.",third pharyngeal arch.,C,Anatomy
"Which of the following is true of blackouts and dizziness?

A. Confusion following a blackout is strongly suggestive of a fit
B. Pre-syncope is another term for a blackout
C. An epileptic fit always leads to the loss of consciousness
D. In the investigation of a blackout a blood sugar estimation is of no value",Confusion following a blackout is strongly suggestive of a fit,A,Clinical Knowledge
"A 3-year-old white girl is brought to the office by her parents for a follow-up visit 48 hours after receiving a 5-TU PPD skin test. The test was done as part of a routine screening for enrollment in a homeless shelter. Physical examination shows 10 mm of induration at the puncture site; the examination is otherwise normal. The parents tell you they are shocked by this finding since both of their skin tests were nonreactive. They say they were born in this country and tell you that their daughter has always been in good health. She has not had much medical care in the past 2 years but she has been healthy. Until moving into this shelter they had been ""squatters"" in vacant buildings. Which of the following is the most appropriate step at this time?

A. Call her previous physician to obtain more history
B. Order a chest x-ray
C. Order a test for HIV antibody
D. Repeat the PPD skin test",Order a chest x-ray,B,Professional Medicine
"A cohort study is conducted to compare the incidence of adverse effects of a recently approved antihypertensive pharmacotherapy with that of conventional therapy. A total of 20,000 patients are enrolled. Twelve thousand are prescribed the recently approved therapy, and 8,000 are prescribed conventional therapy. Patients in the study and control groups are matched for baseline blood pressure, age, and gender. Data are collected from the records of the patients' ongoing clinical care. Results show that those receiving the newly approved treatment have twice the incidence of fatigue compared with those receiving the conventional treatment. The results are statistically significant (p=0.01). Which of the following potential flaws is most likely to invalidate this study?

A. Publication bias
B. Selection bias
C. Type I error
D. Type II error",Selection bias,B,Professional Medicine
"The auditory tube

A. connects the inner ear and nasopharynx.
B. is derived from the second pharyngeal pouch.
C. is opened by the action of levator veli palatini.
D. is closed by the action of tensor veli palatini.",is opened by the action of levator veli palatini.,C,Anatomy
"The coronary arteries

A. arise from the arch of the aorta and fill during diastole.
B. arise from the ascending aorta and fill during systole.
C. arise from the arch of the aorta and fill during systole.
D. arise from the ascending aorta and fill during diastole.",arise from the ascending aorta and fill during diastole.,D,Anatomy
"A 78-year-old male presents to the office with the complaint of severe neck pain. He rates the pain as a 7 on a scale of 0 to 10 scale. He denies any trauma but reports that he had been doing a lot of painting over the past week. He denies any radicular pain or numbness. Cervical range of motion is moderately limited in all fields. He is treated with articulatory springing technique. Four hours later the physician receives a call from the local emergency department, where the patient presented confused, nauseated, and vertiginous. The physician may be found liable if

A. the motion barrier was articulated more than 3 times
B. the motion barrier was met with a vectored force from the direction of ease
C. the neck was treated in simultaneous hyperrotation and extension
D. the patient was previously treated for osteoarthritis of the cervical spine",the neck was treated in simultaneous hyperrotation and extension,C,Professional Medicine
"Which of the following is true about the rectal examination?

A. If the patient refuses a chaperone the doctor can overrule them
B. The rectal examination is of no value in a neurological examination
C. The optimum position of the patient is on their right side with their knees extended
D. The rectal examination is indicated for the assessment of some gastrointestinal disorders",The rectal examination is indicated for the assessment of some gastrointestinal disorders,D,Clinical Knowledge
"A 65-year-old woman has a 6-month history of progressive irritability, palpitations, heat intolerance, frequent bowel movements, and a 6.8-kg (15-lb) weight loss. She has had a neck mass for more than 10 years. 131I scan shows an enlarged thyroid gland with multiple areas of increased and decreased uptake. Which of the following is the most likely diagnosis?

A. Defect in thyroxine (T4) biosynthesis
B. Graves' disease
C. Multinodular goiter
D. Riedel's thyroiditis",Multinodular goiter,C,Professional Medicine
"A 30-year-old nulliparous female presents to the office with the complaint of mood changes. She says that for the past several months she has been anxious, hyperactive, and unable to sleep 3 to 4 days prior to the onset of menses. She further reports that on the day her menses begins she becomes acutely depressed, anorectic, irritable, and lethargic. She has no psychiatric history. Physical examination findings are normal. She and her husband have been trying to conceive for over 2 years. History reveals a tuboplasty approximately 1 year ago to correct a closed fallopian tube. The most likely diagnosis is

A. adjustment disorder with depressed mood
B. bipolar I disorder, mixed
C. cyclothymic personality
D. generalized anxiety disorder",adjustment disorder with depressed mood,A,Professional Medicine
"Which of the following parameters are seen on typical neurological observation charts?

A. Urine output.
B. Temperature.
C. Central venous pressure.
D. Blood glucose.",Temperature.,B,Clinical Knowledge
"A patient sustains severe blunt trauma to the left upper abdomen and requires surgery. Which one of the following organs is most likely to be involved?

A. Appendix
B. Gallbladder
C. Spleen
D. Urinary bladder",Spleen,C,Anatomy
"A malignant tumour is damaging the patient's glossopharyngeal nerve. They will experience

A. loss of taste over the anterior two-thirds of the tongue.
B. loss of somaesthetic sensation over the anterior two thirds of the tongue.
C. loss of taste and somaesthetic sensation over the posterior third of the tongue.
D. paralysis of the muscles of the tongue.",loss of taste and somaesthetic sensation over the posterior third of the tongue.,C,Anatomy
"Which of the following statements is true of the pupillary light reflex?

A. Its efferent limb is carried in the optic nerve
B. It is mediated by the inferior colliculi in the midbrain
C. It is a consensual reflex
D. Its afferent limb is carried in the oculomotor nerve",It is a consensual reflex,C,Anatomy
"A healthy 22-year-old man participates in a study of glucose metabolism. At the beginning of the study, his serum glucose concentration is within the reference range. He consumes an 800-calorie meal consisting of protein, fat, and carbohydrates. He then sleeps through the night without additional food or drink. Twelve hours later, his serum glucose concentration remains within the reference range. Which of the following mechanisms is most likely involved in maintaining this man's serum glucose concentration?

A. Continued gut absorption of calories from the ingested meal
B. Glucose release from skeletal muscle
C. Glycogenolysis in the liver
D. Increased leptin release from adipose tissues",Glycogenolysis in the liver,C,Professional Medicine
"A 35-year-old man comes to the office for follow-up of sarcoidosis. His only new complaint is pain in his legs that increases with weight-bearing. He has been taking glucocorticoid therapy for the past 6 months. Vital signs now are temperature 37.0°C (98.6°F), pulse 78/min, respirations 14/min, and blood pressure 110/70 mm Hg. The patient is thin and is in no acute distress. Auscultation of the chest discloses scattered bilateral basilar crackles. There is mild left hip pain present with both active and passive range of motion. Dorsalis pedis pulse is intact. Neurologic examination is normal. Which of the following is the most likely cause of this patient's symptoms?

A. Avascular necrosis of the femoral head
B. Herniated nucleus pulposus
C. Narrowing of the hip joint
D. Osteoporosis",Avascular necrosis of the femoral head,A,Professional Medicine
"An action potential arriving at the motor endplate causes release of:

A. acetylcholine which traverses the neuromuscular junction.
B. sodium ions which binds to sodium receptors on the muscle membrane.
C. calcium ions which initiate an action potential along the muscle fibre.
D. noradrenaline which increases muscle metabolic activity.",acetylcholine which traverses the neuromuscular junction.,A,Clinical Knowledge
"Which hormone is primarily responsible for fluid regulation?

A. Antidiuretic hormone.
B. Insulin.
C. Adrenaline.
D. Testosterone.",Antidiuretic hormone.,A,Clinical Knowledge
"Tonsillar tissue is commonly found

A. on the posterior wall of the oropharynx.
B. under the mucosa of the ventral surface of the tongue.
C. between the palatoglossal and palatopharyngeal folds.
D. at all three sites.",between the palatoglossal and palatopharyngeal folds.,C,Anatomy
"What is a tracheostomy?

A. An opening in the anterior wall of the trachea above the cricoid cartilage.
B. An opening in the anterior wall of the trachea below the cricoid cartilage.
C. An opening in the anterior chest wall.
D. An opening in the posterior wall of the trachea below the cricoid cartilage.",An opening in the anterior wall of the trachea below the cricoid cartilage.,B,Clinical Knowledge
"A patient cuts a peripheral motor nerve in their wrist when they fall through a plate glass window. If the nerve does not regenerate, after about 6 months the muscles it normally innervates will show signs of which of the four options below?

A. spastic paralysis
B. flaccid paralysis
C. atrophy
D. contracture",atrophy,C,Anatomy
"Which of the following is true in ulna nerve palsy?

A. The ulna nerve can be affected by a fracture of the spiral groove of the humerus
B. It gives rise to a positive phalen's sign
C. It leads to loss of sensation over the medial half of the hand and medial one and a half digits on both palmar and dorsal aspects of the hand
D. It supplies the biceps muscles",It leads to loss of sensation over the medial half of the hand and medial one and a half digits on both palmar and dorsal aspects of the hand,C,Clinical Knowledge
"A patient suffers a broken neck with damage to the spinal cord at the level of the sixth cervical vertebra.

A. They will be unable to breathe without life support.
B. They will only be able to breathe quietly.
C. It is impossible to predict an effect on breathing.
D. Breathing will be unaffected.",They will only be able to breathe quietly.,B,Anatomy
"Which of the following is true of the spine?

A. Back pain is an uncommon complaint
B. Schober's test is designed to quantify the flexion of the lumbar spine
C. Ankylosing spondylitis is a cause of hypermobility of the spine
D. Pregnancy is a cause of loss of lordosis of the lumbar spine",Schober's test is designed to quantify the flexion of the lumbar spine,B,Clinical Knowledge
"The complete resynthesis of phosphocreatine after very high intensity exercise normally takes:

A. about 10 seconds.
B. about 30 seconds.
C. about 1 minute.
D. about 4 minutes.",about 4 minutes.,D,Clinical Knowledge
"Insensible loss does not come from:

A. pyrexia.
B. using unhumidified oxygen.
C. excessive weight loss.
D. diarrhoea.",excessive weight loss.,C,Clinical Knowledge
"A 16-year-old male is brought to the emergency department with sudden-onset swelling of the right knee. He denies any trauma. Past medical history reveals cystic fibrosis. Examination of the knee reveals fluctuance on palpation of the joint but no increased warmth; mild restriction in range of motion due to the swelling is also noted. Numerous bruises are noted in various stages of resolution. Further history reveals easy bruising and bleeding from the gums over the past month. The most likely explanation for these findings is

A. acquired factor VIII deficiency
B. diffuse intravascular coagulation secondary to infection
C. hypocomplementemia
D. malabsorption of vitamins A, D, E, and K","malabsorption of vitamins A, D, E, and K",D,Professional Medicine
"A 54-year-old man comes to the physician because of episodes of fainting for 3 months. He also has had difficulty performing daily tasks because he is easily fatigued. He had a myocardial infarction 12 years ago. His pulse is 40/min, respirations are 18/min, and blood pressure is 138/85 mm Hg. Physical examination shows evidence of cannon a waves. An ECG shows a P-wave rate of 90/min, and an R-wave rate of 40/min, with no apparent relation between the two. Which of the following is the most likely diagnosis?

A. Right bundle branch block
B. Second-degree atrioventricular block, type I
C. Second-degree atrioventricular block, type II
D. Third-degree atrioventricular block",Third-degree atrioventricular block,D,Professional Medicine
"What type of covalent bonds link the amino acids in a protein?

A. Peptide bonds
B. Hydrogen bonds
C. Ionic bonds
D. Glycosidic bonds",Peptide bonds,A,Clinical Knowledge
"A 37-year-old woman, gravida 5, para 4, at 34 weeks' gestation comes to the emergency department because of vaginal bleeding for 2 hours. She has had no prenatal care. Her second child was delivered by lower segment transverse cesarean section because of a nonreassuring fetal heart rate; her other three children were delivered vaginally. Her pulse is 92/min, respirations are 18/min, and blood pressure is 134/76 mm Hg. The abdomen is nontender, and no contractions are felt. There is blood on the vulva, the introitus, and on the medial aspect of each thigh. The fetus is in a transverse lie presentation. The fetal heart rate is 144/min. Which of the following is the most likely diagnosis?

A. Abruptio placentae
B. Amniotic fluid embolism
C. Latent phase of labor
D. Placenta previa",Placenta previa,D,Professional Medicine
"What size of catheter bag may be used at night?

A. 350ml.
B. 500ml.
C. 1L.
D. 2L.",2L.,D,Clinical Knowledge
"Which of the following is true about jaundice?

A. Pale stools and dark urine are characteristic of the jaundice of haemalytic anaemia
B. Bilirubin is used by the liver in the synthesis of red blood cells
C. Itching may be a sign of obstructive jaundice
D. Putting a danger of infection sticker on blood samples from an intravenous drug user with jaundice is optional",Itching may be a sign of obstructive jaundice,C,Clinical Knowledge
"A 62-year-old woman comes to the physician because of low back pain for 1 week. Menopause occurred 10 years ago. Physical examination shows localized tenderness over the lumbar spine after movement. X-rays of the spine show a compression fracture of L1-2. A DEXA scan shows decreased bone mineral density. Serum calcium and phosphorus concentrations and serum alkaline phosphatase activity are within the reference ranges. A bisphosphonate drug is prescribed. The expected beneficial effect of this drug is most likely due to which of the following actions?

A. Decreased insulin-like growth factor-1 concentration
B. Decreased osteoclast activity
C. Decreased osteoprotegerin production
D. Increased 1,25-dihydroxycholecalciferol concentration",Decreased osteoclast activity,B,Professional Medicine
"A 24-year-old woman comes to the office for a routine health maintenance examination. She has been generally healthy for the past year. She is 155 cm (5 ft 1 in) tall and weighs 68 kg (150 lb); BMI is 28 kg/m2 . Vital signs are temperature 37.0°C (98.6°F), pulse 60/min, respirations 18/min, and blood pressure 118/54 mm Hg. Physical examination shows several small (<1 cm), smooth, slightly irregular, mobile, mildly tender lymph nodes palpable in her left groin just below the inguinal ligament. The most likely source of this lymphadenopathy will be found in which of the following?

A. Bone marrow
B. Lateral thigh
C. Lower abdomen
D. Vulva",Vulva,D,Professional Medicine
"A 19-year-old college student comes to the physician because of vaginal irritation and pain with urination for 5 days. Two weeks ago, she had streptococcal pharyngitis treated with amoxicillin. She has been sexually active with two partners over the past year; she uses condoms for contraception. Her last menstrual period was 1 week ago. Her temperature is 37.2°C (99°F), and blood pressure is 90/60 mm Hg. Pelvic examination shows erythema of the vulva and vagina and a thick white vaginal discharge. The pH of the discharge is 4. Which of the following is the most likely cause of these findings?

A. Bacterial vaginosis
B. Candidiasis
C. Chlamydia trachomatis infection
D. Escherichia coli infection",Candidiasis,B,Professional Medicine
"Three weeks ago a 45-year-old man was admitted to the hospital because of frostbite of both feet. He was treated by rapid rewarming and protective care of the feet. All the toes on the right foot have turned black. He has become slightly febrile and progressively more confused during the past few days. Examination discloses cellulitis in the midfoot. Which of the following is the most appropriate treatment?

A. Amputation
B. Application of topical collagenase
C. Debridement of necrotic skin over the toes
D. Hyperbaric oxygen",Amputation,A,Professional Medicine
"Hypernatraemic dehydration is:

A. water intake is less than is needed to maintain balance.
B. water intake is more than is needed to maintain balance.
C. blood volume is lost due to trauma or burns.
D. blood volume is lost due to surgery.",water intake is less than is needed to maintain balance.,A,Clinical Knowledge
"Using a large volume spacer will improve the deposition of medication by:

A. 10-15%
B. 40-60%
C. 99-100%
D. 30-40%",40-60%,B,Clinical Knowledge
"A 47-year-old man comes to the emergency department because of a 3-day history of increasing pain, tenderness, and swelling near the fingernail of his right index finger. He rates the pain as an 8 on a 10-point scale. He has not had fever or chills, and he has not sustained any trauma to the finger. Medical history is unremarkable and the patient takes no medications. He appears generally well and is not in distress. Vital signs are temperature 37.1°C (98.8°F), pulse 72/min, respirations 14/min, and blood pressure 120/80 mm Hg. Physical examination of the right hand discloses swelling, erythema, warmth, and tenderness of the periungual region of the right index finger. There is a mildly fluctuant area near the nail edge. The remainder of the physical examination discloses no abnormalities. Which of the following is the most appropriate next step in management?

A. Incision and drainage
B. Oral cefazolin therapy
C. Topical neomycin therapy
D. Warm-water soaks",Incision and drainage,A,Professional Medicine
"Which one of the following brain areas is supplied by branches of the subclavian arteries?

A. The frontal lobe
B. The parietal lobe
C. The hypothalamus
D. The cerebellum",The cerebellum,D,Anatomy
"A 12-year-old boy with sickle cell disease and type 1 diabetes mellitus is brought to the office by his mother for an initial visit. The family recently moved to the area. Type 1 diabetes mellitus was diagnosed in the patient 6 years ago. Since that time, he has been treated with insulin and dietary management. His insulin regimen has not changed during the past year; however, his mother says he has been only marginally compliant with his insulin and dietary regimens. His diabetic diary shows home fingerstick blood glucose concentrations ranging from 140–200 mg/dL during the past 3 months. He admits to checking his glucose concentrations infrequently. Measurement of hemoglobin A1c obtained last week was 5.4%. The patient's vital signs are temperature 36.8°C (98.2°F), pulse 72/min, respirations 24/min, and blood pressure 110/64 mm Hg. Physical examination shows no abnormalities. Which of the following is the most likely explanation for the discrepancy between the patient's home fingerstick blood glucose concentrations and his hemoglobin A1c?

A. His daily glucose control is better than recorded
B. His glucometer is reading falsely high and should be replaced
C. His hemoglobin A1c is likely a result of laboratory error and should be repeated
D. His sickle cell disease is affecting his hemoglobin A1c",His sickle cell disease is affecting his hemoglobin A1c,D,Professional Medicine
"Which of the following controls body temperature, sleep, and appetite?

A. Adrenal glands
B. Hypothalamus
C. Pancreas
D. Thalamus",Hypothalamus,B,Anatomy
"Complete bilateral cleft palate is due to failure of fusion of the

A. palatine processes.
B. palatine and frontonasal processes.
C. palatine, frontonasal and secondary nasal processes.
D. palatine, frontonasal, secondary nasal processes and mandibular processes.","palatine, frontonasal and secondary nasal processes.",C,Anatomy
"The phrenic nerves innervate the

A. diaphragm.
B. diaphragm and parietal pleura.
C. diaphragm, parietal pleura and pericardium.
D. diaphragm, parietal pleura, pericardium and intercostals muscles.","diaphragm, parietal pleura and pericardium.",C,Anatomy
"For very high force contractions lasting 1-2 seconds, the initial energy source is from:

A. Glycolysis.
B. creatine phosphorylation.
C. phosphocreatine stores.
D. ATP stores.",ATP stores.,D,Clinical Knowledge
"Which of the following is true of psoriatic arthropathy?

A. The absence of plaques of psoriasis excludes the diagnosis
B. The diagnosis can be confirmed by a blood marker
C. Tophi can sometimes be seen over affected joints
D. Nail pitting may give a clue to the diagnosis",Nail pitting may give a clue to the diagnosis,D,Clinical Knowledge
"The sarcoplasmic reticulum in muscle cells acts as a:

A. store of digestive enzymes.
B. store of sodium ions.
C. store of lipid.
D. store of calcium ions.",store of calcium ions.,D,Clinical Knowledge
"In men, which of the following structures is located at the neck of the bladder and surrounds the urethra?

A. Epididymis
B. Prostate
C. Scrotum
D. Seminal vesicle",Prostate,B,Anatomy
"Which muscle is the most active during a right lateral excursion of the mandible?

A. Left lateral pterygoid muscle
B. Right lateral pterygoid muscle
C. Left medial pterygoid muscle
D. Right medial pterygoid muscle",Left lateral pterygoid muscle,A,Anatomy
"A 25-year-old gravida 3 para 2 female is admitted to the hospital at 39 weeks' gestation in active labor. She had been having regular contractions every 4 minutes, but is now having only a few intermittent, weak contractions. She has received medication for pain twice in the past 6 hours. Examination shows no reason for obstructed labor. The fetal head is engaged, the membranes are intact, the fetal heart tones are normal, and the cervix is 100% effaced and 7 cm dilated. The most appropriate management is to

A. administer an epidural anesthetic
B. administer tocolytic therapy
C. apply cervical topical corticosteroids
D. augment the labor with oxytocin",augment the labor with oxytocin,D,Professional Medicine
"In a patient with chest pain which of these features is most suggestive of a myocardial infarction?

A. Very severe pain
B. Sweating and vomiting
C. Pain has lasted for over a week
D. Pain is sharp like a knife",Sweating and vomiting,B,Clinical Knowledge
"A change in blood pressure is detected by the:

A. baroreceptors.
B. chemoreceptors.
C. vasomotor centre.
D. cardiovascular centre.",baroreceptors.,A,Clinical Knowledge
"A 33-year-old male physician reports for a shift in the emergency department. A nurse alerts you that he noticed a faint odor of alcohol near the physician. When approached, the physician appears tired and more disheveled than usual. There is an odor of alcohol on his breath. He is a skilled and talented physician with no known history of substance or alcohol use disorder. He is married with three children, and his wife is pregnant with twins. The physician was recently hired and has had no actions on his license by any state medical board. Which of the following is the most appropriate next step?

A. Ask the physician if he is sober, and if he says yes, allow him to complete his shift
B. Explain to the physician that you suspect he is intoxicated and ask him to submit to a blood sample to check his blood alcohol concentration
C. Relieve the physician of duty and alert the hospital's patient safety officer
D. Tell the physician that you can cover the remainder of the shift alone, so that he can sleep in his office",Relieve the physician of duty and alert the hospital's patient safety officer,C,Professional Medicine
"Sodium bicarbonate ingestion improves middle distance running performance by:

A. elevating the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.
B. reducing the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.
C. elevating the pH and buffering capacity of the extracellular fluid allowing a faster influx of hydrogen ions into muscle.
D. elevating the pre-exercise muscle pH.",elevating the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.,A,Clinical Knowledge
"A 42-year-old man comes to the physician for a follow-up examination 1 week after he passed a renal calculus. X-ray crystallographic analysis of the calculus showed calcium as the primary cation. Physical examination today shows no abnormalities. A 24-hour collection of urine shows increased calcium excretion. Which of the following is the most appropriate pharmacotherapy?

A. Carbonic anhydrase inhibitor
B. Na+ –Cl− symport inhibitor
C. Na+ –K + –2Cl− symport inhibitor
D. Osmotic diuretic",Na+ –Cl− symport inhibitor,B,Professional Medicine
"Why are male patients advised to take their own electric razor to hospital?

A. For patient comfort.
B. To make hospital as familiar as possible.
C. To minimize risk of cross-infection.
D. To allow shaving at a time convenient to the patient.",To minimize risk of cross-infection.,C,Clinical Knowledge
"A 6-day-old breast-fed boy is brought to the emergency department by his mother because of poor weight gain and irritability since delivery, and a 2-hour history of vomiting. Physical examination shows jaundice and hepatomegaly. A reducing substance test result of the urine is positive, and a glucose oxidase test result is negative. The concentration of which of the following metabolites in liver is most likely increased in this patient?

A. Fructose 1,6-bisphosphate
B. Galactose 1-phosphate
C. Glucose 1-phosphate
D. Glucose 6-phosphate",Galactose 1-phosphate,B,Professional Medicine
"Which of the following muscles are derived from the first brachial arch?

A. The muscles of mastication
B. The muscles of mastication and anterior belly of digastric
C. The muscles of mastication and anterior and posterior bellies of digastric
D. The muscles of mastication, anterior and posterior bellies of digastric and geniohyoid",The muscles of mastication and anterior belly of digastric,B,Anatomy
"A 47-year-old woman comes to the physician because of persistent nonproductive cough for 6 weeks. She has not had fever or weight loss. She has hypertension treated with enalapril for the past 3 months. She does not smoke. There is no history of lung disease. She weighs 54 kg (120 lb) and is 163 cm (64 in) tall. Her temperature is 37°C (98.6°F), blood pressure is 130/80 mm Hg, pulse is 70/min, and respirations are 12/min. Examination and an x-ray of the chest show no abnormalities. Which of the following is the most likely mechanism of this patient's cough?

A. Decreased plasma renin activity
B. Decreased serum angiotensin II concentrations
C. Increased serum angiotensin I concentrations
D. Increased serum bradykinin concentrations",Increased serum bradykinin concentrations,D,Professional Medicine
"Alterations in which neurotransmitters in the brain by pharmacological agents has been shown to influence fatigue development?

A. Acetyl choline and noradrenaline.
B. Dopamine and acetyl choline.
C. Glutamate and serotonin.
D. Dopamine and serotonin.",Dopamine and serotonin.,D,Clinical Knowledge
"When you are taking a musculoskeletal history which of the following is true?

A. Drugs may be implicated in the causation of gout
B. A history of diarrhoea is not relevant
C. Difficulty rising from a chair is diagnostic of polymyalgic rheumatica
D. Joint stiffness of 5 minutes duration suggests an arthropathy",Drugs may be implicated in the causation of gout,A,Clinical Knowledge
"What might make the nurse think a patient could not use an inhaler?

A. Severe leg ulcers.
B. Previous recovery from an acute exacerbation of asthma.
C. Forthcoming surgery.
D. Poor technique, physical impairment, or lack of understanding.","Poor technique, physical impairment, or lack of understanding.",D,Clinical Knowledge
"Metabolism is determined by the:

A. size of proteins in the cell.
B. availability of amino acids.
C. proteins formed as dictated by the genetic material.
D. amino acid composition of the ribonucleic acids.",proteins formed as dictated by the genetic material.,C,Clinical Knowledge
"A 68-year-old female has a history of breast cancer that has recurred twice in the past 5 years. She has undergone both radiation and chemotherapy for metastatic carcinoma to the bone. She presents to the office today to ask for help in dealing with midthoracic back pain to enable her to use less analgesic agents. The most appropriate osteopathic manipulative technique to treat this patient's spine is

A. high velocity, low amplitude
B. indirect myofascial release
C. isotonic exercise therapy
D. mid velocity, mid amplitude",indirect myofascial release,B,Professional Medicine
"Which sequence describes the systemic circulation?

A. Left ventricle → aorta → arteries → veins → capillaries
B. Left ventricle → aorta → arteries →capillaries → veins
C. Right ventricle → pulmonary trunk → arteries → capillaries →veins
D. Right ventricle → pulmonary trunk → arteries → veins → capillaries",Left ventricle → aorta → arteries →capillaries → veins,B,Anatomy
"Examination of a patient indicates that they have a medially directed strabismus (squint). This could be due to damage to the

A. oculomotor nerve.
B. trochlear nerve.
C. ophthalmic trigeminal nerve.
D. abducens nerve.",abducens nerve.,D,Anatomy
"Which of the following allows gas exchange in the lungs?

A. Alveoli
B. Bronchi
C. Bronchioles
D. Capillaries",Alveoli,A,Anatomy
"A previously healthy 32-year-old woman comes to the physician 8 months after her husband was killed in a car crash. Since that time, she has had a decreased appetite and difficulty falling asleep. She states that she is often sad and cries frequently. She has been rechecking the door lock five times before leaving her house and has to count exactly five pieces of toilet paper before she uses it. She says that she has always been a perfectionist but these urges and rituals are new. Pharmacotherapy should be targeted to which of the following neurotransmitters?

A. Dopamine
B. Glutamate
C. Norepinephrine
D. Serotonin",Serotonin,D,Professional Medicine
"Which of the following anatomical regions of abdomen lies just distal to the sternum?

A. Epigastric
B. Hypochondriac
C. Hypogastric
D. Lumbar",Epigastric,A,Anatomy
"Which of the following processes is not used to modify protein structure after translation has occurred?

A. Lipidation.
B. Attachment of more amino acids via peptide bonds.
C. Glycosylation.
D. Phosphorylation.",Attachment of more amino acids via peptide bonds.,B,Clinical Knowledge
"Which of the following organs removes bilirubin from the blood, manufactures plasma proteins, and is involved with the production of prothrombin and fibrinogen?

A. Gallbladder
B. Kidney
C. Liver
D. Spleen",Liver,C,Anatomy
"A 54-year-old woman comes to the emergency department because of severe jaw pain since undergoing a painful dental procedure 1 day ago. The patient was prescribed codeine after the procedure and instructed to take the medication every 4 hours, but she has continued pain despite adherence to this analgesic regimen. Other members of her family also have experienced poor pain control with codeine. Which of the following is the most likely explanation for this therapeutic failure?

A. Decreased absorption of codeine
B. Decreased metabolism of codeine to morphine
C. Deficiency of κ receptors
D. Increased plasma protein-binding of codeine",Decreased metabolism of codeine to morphine,B,Professional Medicine
"The net production of ATP via substrate-level phosphorylation in glycolysis is:

A. 2 from glucose and 3 from glycogen.
B. 2 from glucose and 4 from glycogen.
C. 3 from glucose and 4 from glycogen.
D. 3 from glucose and 2 from glycogen.",2 from glucose and 3 from glycogen.,A,Clinical Knowledge
"Why should shampoo not be used for washing the skin when showering or bathing?

A. It is more slippery than soap or emollients.
B. It will not produce sufficient lather.
C. It is not cost-effective.
D. It can cause dryness of the skin.",It can cause dryness of the skin.,D,Clinical Knowledge
"Stridor is described as:

A. A wheezing sound.
B. A gurgling sound.
C. A rattling sound.
D. A high-pitched sound.",A high-pitched sound.,D,Clinical Knowledge
"What should be done after catheterization is carried out?

A. The patient should be thanked.
B. The patient should be advised when to drink.
C. Document catheterization in the patient's notes.
D. The patient should be washed.",Document catheterization in the patient's notes.,C,Clinical Knowledge
"Which orbital wall is most likely to collapse in a 'blow out' fracture?

A. The roof
B. The floor
C. The lateral wall
D. The medial wall",The floor,B,Anatomy
"Exhaustion, confusion, and unresponsiveness can be indicators of:

A. respiratory failure.
B. being generally unwell.
C. renal failure.
D. cardiac failure.",respiratory failure.,A,Clinical Knowledge
